frame.number|frame.time|frame.time_relative|frame.len|ip.version|ip.proto|ip.src|ip.dst|ip.flags|ip.frag_offset|ip.ttl|ip.len|ip.fragment.error|tcp.stream|tcp.time_relative|tcp.time_delta|tcp.srcport|tcp.dstport|tcp.len|tcp.hdr_len|tcp.pdu.size|tcp.window_size|tcp.flags|tcp.flags.fin|tcp.flags.ack|tcp.flags.syn|tcp.analysis.retransmission|tcp.analysis.rto|tcp.analysis.ack_rtt|tcp.analysis.initial_rtt|tcp.analysis.bytes_in_flight|tcp.analysis.duplicate_ack|tcp.analysis.fast_retransmission|tcp.analysis.flags|tcp.analysis.keep_alive|tcp.analysis.keep_alive_ack|tcp.analysis.lost_segment|tcp.analysis.out_of_order|tcp.analysis.reused_ports|tcp.analysis.rto_frame|tcp.analysis.spurious_retransmission|tcp.analysis.tfo_syn|tcp.analysis.window_full|tcp.analysis.window_update|tcp.analysis.zero_window|tcp.analysis.zero_window_probe|tcp.analysis.zero_window_probe_ack|tcp.options.wscale.multiplier|tcp.segment.error|tls.record.content_type|tls.handshake.type|tls.alert_message|tls.handshake.cert_type.type|tls.handshake.extensions_server_name|tls.handshake.extensions_alpn_str|tls.resumed|tls.handshake.ciphersuite|tls.segment.error|tls.alert_message|tls.alert_message.desc|tls.alert_message.level|x509ce.dNSName|http.response.code|http.location|http.request.full_uri|http.request.method|http.request.uri|http.time|http.content_length|http.referer|_ws.expert.severity|udp.stream|udp.dstport|udp.srcport|udp.length.bad|udp.length.bad_zero|udp.possible_traceroute|udp.checksum.bad|dns.flags|dns.flags.rcode|dns.flags.response|dns.time|dns.count.queries|dns.qry.name|dns.resp.ttl
94|Dec 22, 2019 16:03:54.363098000 GMT|7.359788000|119|6|||||||||5|0.000000000|0.000000000|443|39353|31|32||243|0x00000018|0|1|0|||||31|||||||||||||||||||21|||||||||1||||||||||||||||||||||||||
95|Dec 22, 2019 16:03:54.363387000 GMT|7.360077000|88|6|||||||||5|0.000289000|0.000289000|39353|443|0|32||185|0x00000010|0|1|0|||0.000289000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
98|Dec 22, 2019 16:03:54.363509000 GMT|7.360199000|88|6|||||||||5|0.000411000|0.000122000|443|39353|0|32||243|0x00000011|1|1|0|||||||||||||||||||||||||||||||||||||||||||||2097152||||||||||||||
100|Dec 22, 2019 16:03:54.363633000 GMT|7.360323000|119|6|||||||||6|0.000000000|0.000000000|443|39352|31|32||243|0x00000018|0|1|0|||||31|||||||||||||||||||21|||||||||1||||||||||||||||||||||||||
101|Dec 22, 2019 16:03:54.363812000 GMT|7.360502000|88|6|||||||||6|0.000179000|0.000179000|39352|443|0|32||185|0x00000010|0|1|0|||0.000179000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
103|Dec 22, 2019 16:03:54.363862000 GMT|7.360552000|88|6|||||||||6|0.000229000|0.000050000|443|39352|0|32||243|0x00000011|1|1|0|||||||||||||||||||||||||||||||||||||||||||||2097152||||||||||||||
105|Dec 22, 2019 16:03:54.363951000 GMT|7.360641000|88|6|||||||||5|0.000853000|0.000442000|443|39353|0|32||243|0x00000011|1|1|0||||||||1||||1|||||||||||||||||||||||||||||||||2097152,6291456||||||||||||||
106|Dec 22, 2019 16:03:54.364067000 GMT|7.360757000|100|6|||||||||5|0.000969000|0.000116000|39353|443|0|44||185|0x00000010|0|1|0|||0.000558000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
108|Dec 22, 2019 16:03:54.364126000 GMT|7.360816000|88|6|||||||||6|0.000493000|0.000264000|443|39352|0|32||243|0x00000011|1|1|0||||||||1||||1|||||||||||||||||||||||||||||||||2097152,6291456||||||||||||||
109|Dec 22, 2019 16:03:54.364273000 GMT|7.360963000|100|6|||||||||6|0.000640000|0.000147000|39352|443|0|44||185|0x00000010|0|1|0|||0.000411000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
